1227,16
1232,27
1212,20
1269,14
1296,19
1160,52
1151,42
1151,42
1195,30
1172,26
1559,74
1559,74
1559,74
1559,74
1546,66
1546,66
1546,66
1211,45
1211,45
1211,44
1211,44
1211,44
1211,44
1162,108
1162,108
1162,108
1135,143
1135,143
1135,143
1135,143
1135,143
1135,143
1107,172
1107,172
1107,172
1084,194
1084,194
763,81
616,103
652,124
743,131
735,137
754,83
677,97
677,97
598,43
603,49
580,64
766,127
724,119
951,108
835,137
836,99
829,105
782,97
608,131
653,172
658,117
667,129
927,95
825,89
857,122
730,76
640,133
656,128
686,138
683,150
668,147
702,147
731,158
691,156
651,44
548,47
617,51
617,51
630,143
506,100
740,113
687,152
670,168
775,71
869,82
949,67
952,66
947,108
947,108
947,108
998,109
857,77
845,67
739,61
785,87
827,79
943,92
980,13
987,13
976,13
803,11
748,10
811,11
845,11
893,12
893,12
854,11
842,11
790,10
770,10
693,9
746,10
842,11
842,11
960,13
959,13
1030,14
995,13
955,13
923,12
838,11
838,11
810,11
733,10
690,9
866,11
845,11
773,10
790,10
822,11
846,11
799,11
843,11
835,11
965,13
965,13
964,13
974,13
855,11
955,13
945,13
967,13
862,11
915,12
978,13
970,13
669,9
758,10
932,12
958,13
900,12
978,13
1003,13
1065,14
792,10
887,12
885,12
958,13
930,12
986,13
1071,14
1127,15
928,12
921,12
876,12
755,10
712,9
714,9
769,10
847,11
818,11
783,10
771,10
882,12
791,10
803,11
796,11
806,11
774,10
774,10
760,10
663,9
681,9
874,12
855,11
844,11
792,10
716,9
738,10
699,9
739,10
565,7
637,8
619,8
735,10
714,9
645,8
687,9
649,8
817,11
822,11
730,10
753,10
711,9
681,9
673,9
671,9
925,12
765,10
812,11
863,11
896,12
918,12
894,12
949,13
899,12
911,12
932,12
902,12
734,10
649,8
683,9
812,11
752,10
968,13
932,12
940,13
907,12
779,10
894,12
1009,13
1029,14
1042,14
1008,13
1033,14
1061,14
1008,13
1082,14
1074,14
1074,14
953,13
1026,14
1033,14
1029,14
947,13
1068,14
1068,14
1053,14
1053,14
1052,14
1065,14
1020,14
1017,14
772,10
959,295
959,295
848,168
820,161
886,130
968,112
1065,107
1069,88
1074,82
1095,82
1095,82
1115,84
1159,72
1135,70
1101,69
1104,77
1077,94
1046,92
1109,103
1109,103
1121,86
1070,85
1064,103
883,57
919,50
893,55
912,53
1131,191
1163,170
1181,173
1113,163
1017,195
989,189
1123,93
1083,135
1153,150
1252,74
1184,73
997,71
1238,-5
1334,24
1282,40
983,-2
1121,19
1226,46
970,-10
1006,5
1010,-19
1034,55
1016,19
1043,40
1087,48
1024,39
1014,30
1042,23
1052,15
1055,24
983,17
1109,24
1050,12
1043,61
1092,68
1024,73
1032,90
1111,92
1123,98
1262,53
1061,114
1067,143
1414,27
1303,87
1364,74
1333,-21
1349,11
1319,27
1145,51
1073,73
1078,72
1213,67
1239,75
1239,75
1274,51
1209,-22
1156,-7
1143,-9
1108,10
1318,31
1265,18
1268,15
1278,29
1439,40
1440,27
1440,27
1387,-16
1398,-14
1369,-18
1416,31
1287,16
1261,42
1265,37
1302,54
1176,54
1347,24
1369,62
1365,64
1282,38
1286,28
1341,39
1355,55
1340,17
1320,38
1399,33
1439,18
1439,18
1450,7
1450,7
1401,21
1387,49
1347,56
1350,62
1391,59
1259,42
1259,42
1291,16
1291,17
1345,42
1412,70
1436,55
1423,56
1265,89
1309,96
1301,96
1317,86
1459,18
1457,23
1464,20
1457,23
1422,15
1422,15
1422,15
1463,24
1387,22
1365,20
1365,22
1365,22
1324,37
1344,36
1333,52
1369,52
1369,52
1407,37
1419,41
1381,38
1397,54
1390,56
1369,60
1443,29
1417,11
1421,6
1444,31
1357,52
1326,45
1465,30
1460,29
1394,53
1485,30
1485,30
1485,30
1485,30
1509,45
1501,33
1501,33
1424,42
1426,38
1442,25
1442,25
1426,16
1414,30
1412,24
1317,33
1484,10
1484,10
1467,9
1411,11
1333,20
1333,20
1305,25
1273,34
1285,46
